coin,date,label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58
DOGE,2013-12-28,0,-1.1412000000000032e-05,-0.020978095427172317,-1.3071999999999932e-05,-0.023465716932223595,-2.459700000000001e-05,-0.042287227184032064,-0.00013002900000000004,-0.18270352145725555,0.00038191,1.1580610338888484,2.412717464307556e-06,2.401965079447151e-06,1.0752384860405089e-08,-3.154923484030069e-08,49.43829092206758,4.0,0.00546448087431694,0.0018214936247723133,0.0036429872495446266,0.0018214936247723133,0.0018214936247723133,0.0018214936247723133,0.00546448087431694,0.007285974499089253,0.0,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0018214936247723133,0.0,0.0,0.00546448087431694,0.056466302367941715,0.0,0.0,0.0,0.0,0.0018214936247723133,0.0,0.0546448087431694,0.122040072859745,0.5938069216757741,0.04189435336976321,0.03825136612021858,0.030965391621129327,0.007285974499089253,0.0,0.0,0.0,0.014571948998178506,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOGE,2013-12-29,4,-0.000121078,-0.22734066363240352,-1.1412000000000032e-05,-0.020978095427172317,-1.3071999999999932e-05,-0.023465716932223595,-2.459700000000001e-05,-0.042287227184032064,-0.00013002900000000004,-0.18270352145725555,2.330013991200423e-06,2.3629413616444873e-06,-3.2927370444064335e-08,-3.182486196105342e-08,46.99759514037318,4.0,0.004243281471004243,0.0,0.002828854314002829,0.0,0.01272984441301273,0.0,0.002828854314002829,0.004243281471004243,0.0,0.0,0.0014144271570014145,0.0014144271570014145,0.0,0.0,0.0014144271570014145,0.0,0.0,0.005657708628005658,0.024045261669024046,0.0,0.0,0.0,0.0014144271570014145,0.0,0.0,0.031117397454031116,0.06506364922206506,0.7482319660537482,0.019801980198019802,0.028288543140028287,0.0297029702970297,0.0014144271570014145,0.0,0.0,0.0,0.014144271570014143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOGE,2013-12-30,2,2.7809000000000004e-05,0.06757860152707373,-0.000121078,-0.22734066363240352,-1.1412000000000032e-05,-0.020978095427172317,-1.3071999999999932e-05,-0.023465716932223595,-2.459700000000001e-05,-0.042287227184032064,2.279529463073891e-06,2.336194931772893e-06,-5.666546869900199e-08,-3.679298330864314e-08,53.15225990570349,4.0,0.00558659217877095,0.0,0.0111731843575419,0.00186219739292365,0.00186219739292365,0.0,0.00558659217877095,0.0037243947858473,0.0,0.0,0.0,0.0,0.0,0.0,0.00186219739292365,0.0,0.0,0.00186219739292365,0.027932960893854747,0.0,0.0,0.0,0.00186219739292365,0.00186219739292365,0.0,0.0260707635009311,0.08007448789571694,0.7355679702048417,0.0223463687150838,0.0260707635009311,0.03165735567970205,0.00186219739292365,0.0,0.0,0.0,0.00931098696461825,0.00186219739292365,0.0,0.0,0.0,0.0,0.0,0.0
DOGE,2013-12-31,1,-2.7800000000004037e-07,-0.0006328033415659387,2.7809000000000004e-05,0.06757860152707373,-0.000121078,-0.22734066363240352,-1.1412000000000032e-05,-0.020978095427172317,-1.3071999999999932e-05,-0.023465716932223595,2.2366168951849944e-06,2.3113358828857205e-06,-7.471898770072606e-08,-4.437818418705973e-08,55.16025310032004,4.0,0.002320185614849188,0.002320185614849188,0.0,0.0,0.0,0.0,0.009280742459396751,0.009280742459396751,0.002320185614849188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069605568445475635,0.02320185614849188,0.0,0.0,0.0,0.0,0.0069605568445475635,0.0,0.037122969837587005,0.09744779582366589,0.6473317865429234,0.027842227378190254,0.05336426914153132,0.05336426914153132,0.004640371229698376,0.0,0.002320185614849188,0.0,0.0069605568445475635,0.0069605568445475635,0.0,0.0,0.0,0.0,0.0,0.0
DOGE,2014-01-01,0,-8.878999999999994e-06,-0.020223808016180855,-2.7800000000004037e-07,-0.0006328033415659387,2.7809000000000004e-05,0.06757860152707373,-0.000121078,-0.22734066363240352,-1.1412000000000032e-05,-0.020978095427172317,2.1940816907783277e-06,2.2853212298231976e-06,-9.123953904486991e-08,-5.3750455158621767e-08,53.868120592932875,4.0,0.002702702702702703,0.0,0.005405405405405406,0.002702702702702703,0.002702702702702703,0.0,0.010810810810810811,0.010810810810810811,0.0,0.0,0.0,0.002702702702702703,0.0,0.0,0.0,0.0,0.0,0.002702702702702703,0.032432432432432434,0.0,0.0,0.0,0.0,0.002702702702702703,0.0,0.02972972972972973,0.08378378378378379,0.6702702702702703,0.016216216216216217,0.06486486486486487,0.05405405405405406,0.002702702702702703,0.0,0.0,0.0,0.002702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOGE,2014-01-02,0,-7.948599999999998e-05,-0.18478326568377196,-8.878999999999994e-06,-0.020223808016180855,-2.7800000000004037e-07,-0.0006328033415659387,2.7809000000000004e-05,0.06757860152707373,-0.000121078,-0.22734066363240352,2.1023671773378186e-06,2.2344039056448142e-06,-1.3203672830699566e-07,-6.940770978829654e-08,46.84429786407353,4.0,0.0,0.001697792869269949,0.001697792869269949,0.001697792869269949,0.0,0.0,0.0050933786078098476,0.008488964346349746,0.0,0.001697792869269949,0.0,0.0,0.0,0.003395585738539898,0.0,0.0,0.0,0.011884550084889643,0.030560271646859084,0.0,0.001697792869269949,0.0,0.0,0.001697792869269949,0.0,0.022071307300509338,0.09847198641765705,0.6926994906621392,0.03225806451612903,0.04074702886247878,0.030560271646859084,0.001697792869269949,0.0,0.0,0.0,0.011884550084889643,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOGE,2014-01-03,0,-3.462000000000002e-05,-0.09872473422457458,-7.948599999999998e-05,-0.18478326568377196,-8.878999999999994e-06,-0.020223808016180855,-2.7800000000004037e-07,-0.0006328033415659387,2.7809000000000004e-05,0.06757860152707373,2.000492444346093e-06,2.175572609885317e-06,-1.7508016553922432e-07,-9.05422009384821e-08,27.45583280394348,4.0,0.0036231884057971015,0.0018115942028985507,0.0036231884057971015,0.0,0.0018115942028985507,0.0,0.007246376811594203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018115942028985507,0.0036231884057971015,0.0,0.005434782608695652,0.036231884057971016,0.0,0.0,0.0,0.0,0.0018115942028985507,0.0,0.02717391304347826,0.08514492753623189,0.6938405797101449,0.036231884057971016,0.03985507246376811,0.021739130434782608,0.0018115942028985507,0.0,0.0,0.0,0.018115942028985508,0.009057971014492754,0.0,0.0,0.0,0.0,0.0,0.0
DOGE,2014-01-04,1,-3.2981000000000015e-05,-0.10435308113854687,-3.462000000000002e-05,-0.09872473422457458,-7.948599999999998e-05,-0.18478326568377196,-8.878999999999994e-06,-0.020223808016180855,-2.7800000000004037e-07,-0.0006328033415659387,1.8911696136863703e-06,2.109966790268471e-06,-2.187971765821008e-07,-1.1619319606720584e-07,42.054207073236824,4.0,0.0,0.0,0.008241758241758242,0.0027472527472527475,0.0,0.0,0.027472527472527472,0.0,0.0,0.0,0.0,0.0,0.0,0.0027472527472527475,0.0,0.0,0.0,0.01098901098901099,0.054945054945054944,0.0,0.0027472527472527475,0.0,0.0,0.005494505494505495,0.0,0.03571428571428571,0.09065934065934066,0.6318681318681318,0.03021978021978022,0.06043956043956044,0.024725274725274724,0.0027472527472527475,0.0,0.0,0.0,0.005494505494505495,0.0027472527472527475,0.0,0.0,0.0,0.0,0.0,0.0
DOGE,2014-01-05,0,-1.153199999999997e-05,-0.04073889589537597,-3.2981000000000015e-05,-0.10435308113854687,-3.462000000000002e-05,-0.09872473422457458,-7.948599999999998e-05,-0.18478326568377196,-8.878999999999994e-06,-0.020223808016180855,1.7905812401715775e-06,2.045328152903415e-06,-2.547469127318375e-07,-1.4390393940013218e-07,42.99169271546527,4.0,0.0,0.0,0.002881844380403458,0.0,0.002881844380403458,0.0,0.025936599423631124,0.002881844380403458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002881844380403458,0.0,0.002881844380403458,0.0345821325648415,0.0,0.0,0.0,0.0,0.005763688760806916,0.0,0.02881844380403458,0.06051873198847262,0.6772334293948127,0.04610951008645533,0.06051873198847262,0.01729106628242075,0.0,0.0,0.002881844380403458,0.0,0.020172910662824207,0.005763688760806916,0.0,0.0,0.0,0.0,0.0,0.0
DOGE,2014-01-06,0,-1.839000000000002e-05,-0.06772507816556744,-1.153199999999997e-05,-0.04073889589537597,-3.2981000000000015e-05,-0.10435308113854687,-3.462000000000002e-05,-0.09872473422457458,-7.948599999999998e-05,-0.18478326568377196,1.69257580113155e-06,1.9792702072373398e-06,-2.8669440610578973e-07,-1.724620327412637e-07,45.72384169593325,4.0,0.002631578947368421,0.002631578947368421,0.005263157894736842,0.0,0.0,0.0,0.015789473684210527,0.002631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.002631578947368421,0.0,0.0,0.002631578947368421,0.04473684210526316,0.0,0.0,0.0,0.002631578947368421,0.0,0.0,0.04473684210526316,0.04736842105263158,0.6921052631578948,0.04473684210526316,0.04473684210526316,0.039473684210526314,0.0,0.0,0.0,0.0,0.002631578947368421,0.002631578947368421,0.0,0.0,0.0,0.0,0.0,0.0
