user_account,days_over_50_tweets,days_hour_ge_6_tweets,total_days_over_limit
BayernNewsw,0,1,1
BeamWeb3,0,1,1
BeaverQ17,0,2,2
BenJesse811,0,2,2
Ben_crypto0147,0,1,1
Ben_mikey9,2,9,11
BenjaminMfon1,0,1,1
Bentley_Nero,0,2,2
Beth_Tastic,0,1,1
Bethfelli,0,3,3
BetsAtWallSt,0,1,1
Between2Cryptos,0,1,1
BigAruta001,0,1,1
BigJer2299,0,1,1
BigJim52561391,0,2,2
Bigazz_Pepe,0,10,10
BigboyTomarne69,0,1,1
BiggleSwiggled,0,1,1
BijonR98896,0,1,1
BinanceStuff,0,2,2
Binancefutur,0,1,1
BirdDogGod,0,1,1
BismarckPepe,0,1,1
Biswas shouvo,0,1,1
Bitbro88,0,1,1
BitcoinPepe_,0,4,4
BitcoinisLove3,0,1,1
Blake82350032,0,1,1
BlessedNft,0,1,1
BlockChain0G,0,2,2
Blockvercenews,0,1,1
BlueHaven_Life,0,1,1
BlueHoodieHODL,0,3,3
BluezBrotha16,0,2,2
BobMichelle411,0,3,3
BobMitch01,1,2,3
Bobby1487886,0,1,1
BobosBearTrap,0,1,1
Boilerman2019,0,1,1
BollatoMartina,0,1,1
BollingerBands7,0,1,1
BondingAlerts,0,1,1
Bones_Trader777,0,1,1
Boni_face30,0,1,1
BonkZ123,0,1,1
BoralchionRoy,0,1,1
BorisVagner,0,3,3
BoyC70712,0,1,1
BrandLucas15,0,1,1
Branden D Gonzalez,0,1,1
BrenoPi90767403,0,1,1
BrettOppa,0,1,1
BrianBanks08,0,1,1
BrianEJohnson12,0,1,1
BrisePepe,0,1,1
BrokenEg0,0,11,11
BruceWayne22677,0,1,1
Brudu_buddha,0,1,1
Brujo420art,0,2,2
BrunoPepe59,0,2,2
BuddyFloyd67031,0,1,1
BuffaloRosco,0,2,2
Bull196669,0,1,1
BulletAiAgent,0,1,1
Bullish banter,0,1,1
Bullwalker78,0,1,1
Burl Bawlz,0,1,1
ButchPepe,0,1,1
Byl_Pepecoin,0,1,1
C MC 🐸,0,1,1
C324R21,0,1,1
C7i7C,0,2,2
CANDYMAN,0,1,1
CEOofCTO,0,1,1
CLEMSONPEPE,4,13,17
CMC226227894649,5,47,52
CRYPTO BULL MAKER📊💹🏹,0,2,2
CRYPTO CARSON,0,1,1
CRYPTO77210,0,2,2
CRYPTODONCAN6,0,1,1
CRYPTOMESSIAHFR,1,9,10
CRYPTOPEPEKING,0,2,2
CRYPTO_BONAZ,4,29,33
CRYPTO_GLOBAL10,1,9,10
CTurtEmoji,0,1,1
CZRealArmy,0,1,1
Caesergreat,0,1,1
CalFrancelees,0,1,1
Call_Me_Mr_Pepe,0,3,3
Cameron_aslatt,0,1,1
CangFt,0,1,1
Capi52720652028,0,1,1
CapitalPatel,0,1,1
