user_account,days_over_50_tweets,days_hour_ge_6_tweets,total_days_over_limit
CryptoBell0,0,1,1
CryptoBenjaam,0,1,1
CryptoChainDEX,0,1,1
CryptoCove4,0,1,1
CryptoFrankkie,0,1,1
CryptoHive,0,1,1
CryptoISFreedom,0,1,1
CryptoInChair,1,2,3
CryptoJean87768,0,1,1
CryptoLowski,0,1,1
CryptoMD77,0,1,1
CryptoMemeXT,0,1,1
CryptoOlivia147,0,1,1
Crypto_Adam77,0,1,1
Crypto_Girl,0,1,1
Crypto_Gremlin7,0,1,1
Cryptogen901,0,1,1
Cryptogeorge_2,0,1,1
Cryptoholicboy.eth,0,2,2
Cryptoleague01,0,1,1
Cryptomikey007,0,1,1
CryptosTool,1,1,2
Cryptowithankit,0,1,1
Cryptzzyy,0,1,1
Cryto Jesus,0,1,1
Cupseyy,0,1,1
Cxv-77,0,1,1
Cyrtoshi,0,1,1
Czwhale__,0,1,1
D (sans arc),0,1,1
D0tSama,0,1,1
DCAlphaOfficial,0,1,1
DCT_247,0,1,1
DGtradeer,0,1,1
DGwinny,0,1,1
DJM09068876,0,1,1
DWeb3Dictionary,0,1,1
DaddyWood,0,1,1
Dak,0,2,2
DakTronic44,0,1,1
Damián Roman,0,2,2
DanielPradofx0,0,5,5
DanoCrypto904,0,1,1
DarkZuckerberg0,0,1,1
Dave Johnson,0,1,1
David_kratzer2,0,7,7
Davidd1003,0,1,1
Davies ⬆️,0,1,1
DeFiDecoded97,0,1,1
Deejay_Litmus,0,1,1
DefiJen,0,1,1
DefiTokyo,0,1,1
Defi_FinChain,0,1,1
DefiyantlyFree,0,1,1
DeganThrills,0,1,1
DegenTraderr,0,1,1
Dello_LTU,0,1,1
DeplorableMan21,0,1,1
Dereck1549,0,2,2
Destinycrypto11,0,1,1
DevaaKasi,0,1,1
DevonCrystalNFT,0,1,1
Dinesh kumar umapathy,0,1,1
DittrichEl12242,0,2,2
Dobby_Coin,0,1,1
DogNumeroUno,1,1,2
Doge coin 🪙 👌,0,1,1
Domina0xx,0,1,1
Donald pump,0,1,1
DownOnly,0,1,1
Dr RD,0,1,1
DrCrypto_Alpha,0,1,1
DrJimCash,0,1,1
Dr_jonesv0,0,1,1
Dream,0,1,1
Drjonesv0,0,1,1
DuhRealGus,0,1,1
Dwbuck84,0,1,1
DwightPirate,0,1,1
E2badru,0,1,1
EFFOiUS,0,1,1
ELISMANUELl2,0,1,1
ETH_Bosss,0,1,1
EddieT209,0,1,1
EddyMetaX,0,1,1
Edward,0,1,1
EdwinMelonie,0,1,1
Eizypips,0,1,1
ElMafiosoCrypto,0,1,1
ElecTrump,0,1,1
EliasArizaJr13,0,1,1
EllaFlynns,0,1,1
EmmacryptoD,0,1,1
Emmanuel,0,1,1
Eri,0,7,7
ErisaArt,0,3,3
ErleaFolant,0,3,3
Escape_protocol,1,2,3
EstragonWW1,0,1,1
Ethan_Brad512,0,1,1
Evil Frieza,0,3,3
FCK Trump Coin,0,1,1
FUTURE ☀️🔥👑 | Trading & Investment Hub,0,2,2
FabdGPro,2,4,6
FameEX GLOBAL,0,11,11
FameEXGlobal,0,5,5
Famous_sft,0,2,2
Fatima5677651,0,1,1
Fetti Flow,2,2,4
FiatArmyy,0,1,1
FiatHawk,0,1,1
FireBrightX,0,1,1
FireSaleBull,0,1,1
Fizler,0,1,1
Flight Crypto✈️,0,1,1
Flyin Fella,0,1,1
Flyt Bears,0,1,1
Fola_gbadee,0,1,1
ForexMr_,0,2,2
ForkedMemeDept,0,1,1
Frances Yue,0,1,1
Frank60890,0,1,1
Frank_Alwin320,0,4,4
FranklinX1,0,1,1
FrankyDaPlunger,0,1,1
FredMeye207,0,3,3
Frei_Denker,0,1,1
Freistyle_Bali,0,1,1
Fresh,0,1,1
FubitOfficial,0,1,1
FutureTalk_app,1,1,2
Future_expart2,0,4,4
GAnon89928,0,1,1
GBrosPro,1,3,4
GEM HUNTER 💎,0,1,1
GEnergman11119,0,2,2
GME FAN 🎮🛑 SOLANA,0,1,1
GOLD DIGGER,0,3,3
GOLD_TRADER322,0,1,1
GPROtrading,1,3,4
GRACEY418,0,1,1
Ga_spark1,0,1,1
GabeHorn,0,1,1
GabemetaX,0,1,1
Gabriel_Ant234,0,1,1
GalleonCrypto,0,1,1
GarvMeta,0,1,1
GeekJohn,0,1,1
GemsAristocrat,0,1,1
Gemz 🦄💨✨,0,3,3
GenesisJames015,0,1,1
George833289865,0,1,1
George_edward_1,0,1,1
GetTrumpmemec,0,1,1
Gio,0,2,2
Giocotero,0,3,3
Giottus Crypto Exchange,0,1,1
"GoFUNmeme CASINO (Raffles, Lottery, Win!)",0,1,1
GoViewxyz,0,1,1
Godly Me,0,1,1
Golden,0,1,1
GoodDogOnX,0,1,1
Goodluck464992,0,4,4
Goodwhills Stock,0,1,1
GooseSpeaks,0,1,1
GotInstrumental,0,1,1
GproTrad,1,3,4
GprosTrades,1,3,4
Grazi,0,1,1
Gregory Brinkley,0,1,1
Grok,0,1,1
Gung Ho,0,1,1
Guru_FX_1,0,1,1
GwagonPulse666,0,1,1
HCR_BOT,0,1,1
HabsConnoiseurCH,0,1,1
Happy,0,1,1
Harper Taylor,0,1,1
Heji,0,1,1
Hercules Rockefeller |$btrump,0,2,2
HiKARUD_FXXK,0,4,4
Himel_bitcoin_crypto,0,2,2
HodlHero,0,1,1
Hoffman_581,1,11,12
HokageOfCrypto,0,1,1
Holmes1618,1,1,2
Holo Trump,0,1,1
Horton_A7,1,16,17
HoverBrothers,0,6,6
HugsInspired,0,1,1
HustlerPanther,0,1,1
HypeMasterFlex,0,1,1
ITBL,0,1,1
IamMassey,0,1,1
Ibragimov_0813,0,1,1
Iconic Trade’s.,0,4,4
IfeYanju,0,1,1
ImBoris334441,0,1,1
Isaac_Burgees,0,2,2
Itachi,0,1,1
ItsEshOnX,0,1,1
Izaacrivers654,0,1,1
Izzy201120,0,1,1
J4UP,0,1,1
JEFF_CRYPTO_11,0,2,2
JHerbo,0,1,1
JUP(RI)🇲🇨 | AuroryAI,0,1,1
JWick36889,0,1,1
Jack_Green0,0,1,1
Jackson_futures,0,2,2
Jadenbenll,2,5,7
JaishSingh33,0,1,1
JakeGagain,0,1,1
Jameel Rehman,0,1,1
James1Bennett,0,3,3
James_1futures,0,5,5
James_Melville5,0,1,1
James_jacksons,0,8,8
Jeff84171996210,0,1,1
JeffDeCola,0,1,1
JephterOnu5129,0,1,1
JerryTommy34417,0,1,1
Jill,0,5,5
Jill_NFT22,1,3,4
JimboFishmen,0,1,1
Jingo Strange,0,1,1
JoeTrader,0,8,8
John,0,1,1
John Mulloy,0,1,1
Johnny Nitro,0,1,1
JohnnyCrypto77,0,1,1
Johnson_Jackso,0,1,1
Johnson_son1,0,7,7
Jokerdoteth,0,1,1
"Josh ""The Peanut Butter Kid"" Grove",0,1,1
JourneyFernando,0,1,1
Juan_sanchez13,0,3,3
JulieOnX24,0,1,1
Jummy230,0,1,1
KASHMIRNATIVE,0,1,1
KIKI_no_Jayd(ﾐ◕ᴥ◕ﾐ𝒦𝒾𝒦𝒾~*,0,1,1
KIKI_no_PK (ﾐ◕ᴥ◕ﾐ𝒦𝒾𝒦𝒾~*,0,1,1
KIKKO60988160,0,1,1
KORROOFTOPARODY,0,1,1
KRAIN ARMY,0,1,1
"Kamal KGEN (Ø,G) .cast",0,1,1
KarlFarrugia19,0,2,2
KarrarDotOrg,0,1,1
KekiusAIgentbot,0,1,1
Ken__Lincoln,0,1,1
KeremTosun999,0,3,3
KhanMuhammadf,0,1,1
King Dave,0,1,1
KingSolNFTs1,0,1,1
KobeissiLetter,0,1,1
Korede4212,0,1,1
Krypto_Fire,0,1,1
Kucoin Astronaut🚀,0,1,1
L3KSVL,0,1,1
LAYLEGEND,0,1,1
LAYLEGENDARY,0,2,2
LEGIT_FIXEDS1,0,1,1
LENGENDARY,0,1,1
LL,0,1,1
LOUDMOUTH_ETH,0,1,1
Lakes Pepe,0,1,1
Lakeslakes11,0,1,1
Larone369,0,1,1
Lavrov,0,1,1
Legend4831,0,1,1
Leo01470,0,2,2
Leviathan,0,1,1
Lewis_marcote,2,3,5
Lewisholdr,0,3,3
Lewis🔶,0,4,4
LiberalMilei27,0,1,1
LiljayhCrypt,0,1,1
Limbosan.,0,1,1
Linda Rose,0,1,1
LindaRose187302,0,7,7
Lion of Wallstreet,0,1,1
Lisa1139778,1,4,5
LiteMetaX,0,1,1
Little 'X',0,1,1
LittleTrumpCoin,1,3,4
LlamaDohBroMan,0,1,1
LoneWolfCryp,0,1,1
LowCapB,0,1,1
Lucas1,0,2,2
Lucas_J30,0,3,3
LuckkyyyyyyRaz,0,1,1
LudisCharta,0,1,1
Luis Roberto Täler,0,1,1
Luna Launch {R❤N},0,1,1
LuoJiemi4888212,0,1,1
Luphiwe282209,0,1,1
M K,0,2,2
M Mujahid,0,1,1
M-Trades,0,10,10
M0NEYG0TL0NGER,0,1,1
MAGA1hat,0,1,1
MAXWEB01 🔗ON TELEGRAM 🏆,0,1,1
MAXX_FUTURE,0,1,1
MOVIE_PACKAGE,0,1,1
MOYIN,0,1,1
MR BOB COIN PRESALE,2,17,19
MR1UP,0,1,1
MTrades8,0,9,9
MWazak98,0,1,1
Mackewich,0,1,1
Made in America $MIA,0,1,1
MadisonsarahFx,1,2,3
MagaTrumpBase,0,2,2
MaideN,0,1,1
Malarke_Roll,0,5,5
Malya_Ku,1,1,2
Mamun Moral,0,8,8
MandoNevarro,0,1,1
ManuelZQ9,1,6,7
MarSnax,0,1,1
Marc Frischhertz,0,1,1
MarisaJack7,0,2,2
Mark Landis,0,1,1
MarkETHreal,0,1,1
MarkL759,0,1,1
MarkQuarter,0,2,2
Market Prophit,1,1,2
MarketProphit,1,1,2
MartinSzreter,0,1,1
Masako,0,1,1
MasterMiindClub,0,1,1
Mastery elite,0,7,7
Mateo,0,1,1
MaxiPotentialUS,0,1,1
Maximus Profiticus,0,1,1
MayorDelMar,0,1,1
MazeMetaX,0,1,1
MegaWhaleXBT,0,4,4
Meme Coin Callerz,0,1,1
Meme Isso,0,1,1
MemeMarket,0,1,1
MemecoinGrinch,1,2,3
MeowMetaX,0,1,1
Mfer The Gays,0,1,1
Michael🤑,0,1,1
Micheal Noah,0,1,1
MikeWorth_,0,1,1
Miracle00520774,0,1,1
Mishiuz,1,2,3
MissDCflowers,1,1,2
MissionGains,0,1,1
Mkzlive99,0,1,1
MojszeGoldberg,0,1,1
Momo,0,1,1
MoneyMinter98,0,1,1
Monica 🇺🇸,1,3,4
MonicaHepperman,3,5,8
Monitor_fi,0,1,1
MoonCallCorp,0,1,1
MortalGangnft,0,1,1
Mr Anonymous,0,1,1
MrMilad921,0,1,1
MrXsoon,0,1,1
MrsGutPortillo,0,1,1
MtroX207,0,3,3
Murad TRUMP FAN,0,1,1
MvpBatuk,0,1,1
MysticNietzsche,0,1,1
NFAR_ai,0,1,1
NG_Web3,0,1,1
Nate_Mandel,1,2,3
Natorious,0,1,1
Nayan Mondal,9,22,31
Nedmetax,0,1,1
Neha,0,1,1
Nerick,0,7,7
Nesson5,0,1,1
NguyenC21732207,0,1,1
NiggaItzDanny,0,1,1
NihilusBTC,0,1,1
Nikoliora,0,1,1
Nix,0,1,1
NkeirukaFa22852,0,1,1
Noah Midas,0,3,3
Nomadx444,0,1,1
Nooshbang,1,1,2
NormalGayPsych,0,1,1
NosyjaPeter,0,1,1
Not_Brex,0,1,1
NovaBEENreal,0,1,1
OA_Oluwafemi,0,2,2
OFFICIAL TRUMP COIN,0,4,4
OG SOLANA,1,1,2
OZZ13RL,0,1,1
Official Trump Card on $SOL,0,3,3
Official Trump acoin,0,1,1
OfficialTrumpOG,0,1,1
Oficial__odds,0,1,1
OgeColette,0,1,1
Olahh8,0,1,1
OluwaseunMi1014,0,2,2
Onlytrenchesboy,2,8,10
Onncuu,0,1,1
Outis,0,1,1
Oxygenra,0,1,1
P1PP3S40,0,1,1
PAY BACK CRYPTO RECOVERY EXPERTS,0,1,1
PRIME_GH0ST,0,2,2
PR_Trader_James,3,8,11
PandysPlace,0,2,2
Pascal Najadi (USSF),0,1,1
Patricia,0,1,1
PatrickHar63427,0,1,1
PatriotXVoice,0,1,1
Paul smith Johnson,0,1,1
PaulTran.ron,1,1,2
Pepe 💎 Crypto Bear Destroyer 💎,0,1,1
Phương Huệ – Giàu toàn diện,0,1,1
Pnuttrumpcoin,0,1,1
Pr3sidenteSol,0,1,1
Prince Eric,0,1,1
PrinceEvia62666,0,1,1
Prince_Cali_619,0,1,1
ProSquatch,2,5,7
ProUnitedStates,0,1,1
Pro_FredorSig,0,2,2
Profile_Update_,0,1,1
Profit Pulse,0,5,5
Pugmug09754,0,1,1
PumpAndTrDump,0,2,2
PutinsMoonmen,0,1,1
QBOT,0,1,1
QUOKKY,0,1,1
Qismah112754,0,1,1
QuinxResearcher,0,1,1
RANDY ALEX,0,1,1
RANDYBANKSSD,0,8,8
RAiHAN_MR16,0,1,1
RENEW YOUR FAITH,0,1,1
RICHeFLIX,0,1,1
ROSS,0,1,1
RVMmovement,0,1,1
RadenJawa22,0,1,1
Randomness51342,0,1,1
RandyFirst001,0,3,3
RandyOrton6h7,0,1,1
Randymarc0te,0,4,4
RapVault_,0,1,1
RaphKrypt,0,1,1
Ray_Brian4,0,1,1
ReZone162,0,1,1
Reaganfoster18,0,1,1
RealBatmane,0,1,1
RealJamesHing,0,1,1
RealtorStarShar,0,1,1
Rei,0,1,1
RektBigHustla,0,1,1
RektOverseer,2,2,4
Renata_Vine,0,2,2
Resist MEME,0,1,1
Rev_25,0,1,1
Richarlison_c,1,2,3
RicherVito,0,1,1
Richie Bravo,0,1,1
Rid how,0,1,1
Ridhow21,1,2,3
Robert Khushi,0,1,1
Rocket Leader,0,1,1
Rodney,0,1,1
RolfecryptoSig,0,3,3
RothschilDotSol,0,2,2
Royshark.eth,0,1,1
RussCIA_111,0,1,1
