coin,date,label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58
DOGE,2013-12-28,0,-1.1412000000000032e-05,-0.020978095427172317,-1.3071999999999932e-05,-0.023465716932223595,-2.459700000000001e-05,-0.042287227184032064,-0.00013002900000000004,-0.18270352145725555,0.00038191,1.1580610338888484,2.412717464307556e-06,2.401965079447151e-06,1.0752384860405089e-08,-3.154923484030069e-08,49.43829092206758,0.0,0.005836575875486381,0.0019455252918287938,0.0038910505836575876,0.0019455252918287938,0.0019455252918287938,0.0019455252918287938,0.0,0.007782101167315175,0.0,0.0019455252918287938,0.0,0.0,0.0,0.0,0.0019455252918287938,0.0,0.0,0.005836575875486381,0.058365758754863814,0.0,0.0,0.0,0.0,0.0019455252918287938,0.0,0.058365758754863814,0.1245136186770428,0.5894941634241245,0.042801556420233464,0.04085603112840467,0.0311284046692607,0.007782101167315175,0.0,0.0,0.0,0.009727626459143969,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOGE,2013-12-29,4,-0.000121078,-0.22734066363240352,-1.1412000000000032e-05,-0.020978095427172317,-1.3071999999999932e-05,-0.023465716932223595,-2.459700000000001e-05,-0.042287227184032064,-0.00013002900000000004,-0.18270352145725555,2.330013991200423e-06,2.3629413616444873e-06,-3.2927370444064335e-08,-3.182486196105342e-08,46.99759514037318,0.0,0.003125,0.0,0.003125,0.0,0.009375,0.0,0.0015625,0.0046875,0.0,0.0,0.0015625,0.0015625,0.0,0.0,0.0015625,0.0,0.0,0.00625,0.0234375,0.0,0.0,0.0,0.0015625,0.0,0.0,0.0328125,0.0640625,0.7484375,0.0203125,0.03125,0.0328125,0.0015625,0.0,0.0,0.0,0.0109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOGE,2013-12-30,2,2.7809000000000004e-05,0.06757860152707373,-0.000121078,-0.22734066363240352,-1.1412000000000032e-05,-0.020978095427172317,-1.3071999999999932e-05,-0.023465716932223595,-2.459700000000001e-05,-0.042287227184032064,2.279529463073891e-06,2.336194931772893e-06,-5.666546869900199e-08,-3.679298330864314e-08,53.15225990570349,0.0,0.006134969325153374,0.0,0.012269938650306749,0.002044989775051125,0.002044989775051125,0.0,0.0,0.00408997955010225,0.0,0.0,0.0,0.0,0.0,0.0,0.002044989775051125,0.0,0.0,0.002044989775051125,0.028629856850715747,0.0,0.0,0.0,0.002044989775051125,0.002044989775051125,0.0,0.026584867075664622,0.08384458077709611,0.7321063394683026,0.022494887525562373,0.028629856850715747,0.032719836400818,0.002044989775051125,0.0,0.0,0.0,0.006134969325153374,0.002044989775051125,0.0,0.0,0.0,0.0,0.0,0.0
DOGE,2013-12-31,1,-2.7800000000004037e-07,-0.0006328033415659387,2.7809000000000004e-05,0.06757860152707373,-0.000121078,-0.22734066363240352,-1.1412000000000032e-05,-0.020978095427172317,-1.3071999999999932e-05,-0.023465716932223595,2.2366168951849944e-06,2.3113358828857205e-06,-7.471898770072606e-08,-4.437818418705973e-08,55.16025310032004,0.0,0.002570694087403599,0.002570694087403599,0.0,0.0,0.0,0.0,0.002570694087403599,0.010282776349614395,0.002570694087403599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007712082262210797,0.02570694087403599,0.0,0.0,0.0,0.0,0.007712082262210797,0.0,0.038560411311053984,0.10539845758354756,0.6349614395886889,0.028277634961439587,0.056555269922879174,0.05912596401028278,0.002570694087403599,0.0,0.002570694087403599,0.0,0.002570694087403599,0.007712082262210797,0.0,0.0,0.0,0.0,0.0,0.0
DOGE,2014-01-01,0,-8.878999999999994e-06,-0.020223808016180855,-2.7800000000004037e-07,-0.0006328033415659387,2.7809000000000004e-05,0.06757860152707373,-0.000121078,-0.22734066363240352,-1.1412000000000032e-05,-0.020978095427172317,2.1940816907783277e-06,2.2853212298231976e-06,-9.123953904486991e-08,-5.3750455158621767e-08,53.868120592932875,0.0,0.003048780487804878,0.0,0.006097560975609756,0.003048780487804878,0.003048780487804878,0.0,0.0,0.009146341463414634,0.0,0.0,0.0,0.003048780487804878,0.0,0.0,0.0,0.0,0.0,0.003048780487804878,0.036585365853658534,0.0,0.0,0.0,0.0,0.003048780487804878,0.0,0.027439024390243903,0.08536585365853659,0.6615853658536586,0.018292682926829267,0.07317073170731707,0.06097560975609756,0.003048780487804878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOGE,2014-01-02,0,-7.948599999999998e-05,-0.18478326568377196,-8.878999999999994e-06,-0.020223808016180855,-2.7800000000004037e-07,-0.0006328033415659387,2.7809000000000004e-05,0.06757860152707373,-0.000121078,-0.22734066363240352,2.1023671773378186e-06,2.2344039056448142e-06,-1.3203672830699566e-07,-6.940770978829654e-08,46.84429786407353,0.0,0.0,0.001890359168241966,0.001890359168241966,0.001890359168241966,0.0,0.0,0.0,0.00945179584120983,0.0,0.001890359168241966,0.0,0.0,0.0,0.003780718336483932,0.0,0.0,0.0,0.011342155009451797,0.034026465028355386,0.0,0.0,0.0,0.0,0.001890359168241966,0.0,0.024574669187145556,0.09829867674858223,0.6899810964083176,0.034026465028355386,0.03969754253308128,0.03213610586011342,0.001890359168241966,0.0,0.0,0.0,0.011342155009451797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOGE,2014-01-03,0,-3.462000000000002e-05,-0.09872473422457458,-7.948599999999998e-05,-0.18478326568377196,-8.878999999999994e-06,-0.020223808016180855,-2.7800000000004037e-07,-0.0006328033415659387,2.7809000000000004e-05,0.06757860152707373,2.000492444346093e-06,2.175572609885317e-06,-1.7508016553922432e-07,-9.05422009384821e-08,27.45583280394348,0.0,0.004149377593360996,0.0,0.004149377593360996,0.0,0.002074688796680498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002074688796680498,0.004149377593360996,0.0,0.006224066390041493,0.03941908713692946,0.0,0.0,0.0,0.0,0.002074688796680498,0.0,0.03112033195020747,0.07676348547717843,0.7012448132780082,0.03734439834024896,0.035269709543568464,0.022821576763485476,0.002074688796680498,0.0,0.0,0.0,0.02074688796680498,0.008298755186721992,0.0,0.0,0.0,0.0,0.0,0.0
DOGE,2014-01-04,1,-3.2981000000000015e-05,-0.10435308113854687,-3.462000000000002e-05,-0.09872473422457458,-7.948599999999998e-05,-0.18478326568377196,-8.878999999999994e-06,-0.020223808016180855,-2.7800000000004037e-07,-0.0006328033415659387,1.8911696136863703e-06,2.109966790268471e-06,-2.187971765821008e-07,-1.1619319606720584e-07,42.054207073236824,0.0,0.0,0.0,0.009404388714733543,0.003134796238244514,0.0,0.0,0.003134796238244514,0.0,0.0,0.0,0.0,0.0,0.0,0.003134796238244514,0.0,0.0,0.0,0.009404388714733543,0.05956112852664577,0.0,0.003134796238244514,0.0,0.0,0.006269592476489028,0.0,0.03761755485893417,0.0877742946708464,0.6426332288401254,0.03134796238244514,0.06583072100313479,0.025078369905956112,0.003134796238244514,0.0,0.0,0.0,0.006269592476489028,0.003134796238244514,0.0,0.0,0.0,0.0,0.0,0.0
DOGE,2014-01-05,0,-1.153199999999997e-05,-0.04073889589537597,-3.2981000000000015e-05,-0.10435308113854687,-3.462000000000002e-05,-0.09872473422457458,-7.948599999999998e-05,-0.18478326568377196,-8.878999999999994e-06,-0.020223808016180855,1.7905812401715775e-06,2.045328152903415e-06,-2.547469127318375e-07,-1.4390393940013218e-07,42.99169271546527,0.0,0.0,0.0,0.003246753246753247,0.0,0.003246753246753247,0.0,0.0,0.003246753246753247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003246753246753247,0.0,0.003246753246753247,0.03571428571428571,0.0,0.0,0.0,0.0,0.006493506493506494,0.0,0.032467532467532464,0.06818181818181818,0.6785714285714286,0.048701298701298704,0.06168831168831169,0.01948051948051948,0.0,0.0,0.003246753246753247,0.0,0.022727272727272728,0.006493506493506494,0.0,0.0,0.0,0.0,0.0,0.0
DOGE,2014-01-06,0,-1.839000000000002e-05,-0.06772507816556744,-1.153199999999997e-05,-0.04073889589537597,-3.2981000000000015e-05,-0.10435308113854687,-3.462000000000002e-05,-0.09872473422457458,-7.948599999999998e-05,-0.18478326568377196,1.69257580113155e-06,1.9792702072373398e-06,-2.8669440610578973e-07,-1.724620327412637e-07,45.72384169593325,0.0,0.002881844380403458,0.002881844380403458,0.005763688760806916,0.0,0.0,0.0,0.0,0.002881844380403458,0.0,0.0,0.0,0.0,0.0,0.0,0.002881844380403458,0.0,0.0,0.002881844380403458,0.04610951008645533,0.0,0.0,0.0,0.002881844380403458,0.0,0.0,0.04899135446685879,0.043227665706051875,0.6974063400576369,0.043227665706051875,0.04899135446685879,0.043227665706051875,0.0,0.0,0.0,0.0,0.002881844380403458,0.002881844380403458,0.0,0.0,0.0,0.0,0.0,0.0
